academicSessionId,programId,programName,classId,subjectCode,subjectName,subjectId,lecturerEmail,lecturerName,roomId,roomName,dayOfWeek,startTime,endTime,weekStart,weekEnd,status,remarks
JAN_JUN_2026,DGS,DIPLOMA TEKNOLOGI KEJURUTERAAN GAS (DGS),DGS 1A,DPG10214,INTRODUCTION TO GAS PIPING WORKSHOP,DGS_DPG10214,lecturer001@tvetmara.edu.my,Zabhin bin Mohd Arbai,COMP_ LAB 1,COMP. LAB 1,Isnin,08:00,10:00,1,18,active,DGS scoped clean no-conflict row
JAN_JUN_2026,DGS,DIPLOMA TEKNOLOGI KEJURUTERAAN GAS (DGS),DGS 1B,DPG10222,INTRODUCTION TO GAS INDUSTRY,DGS_DPG10222,lecturer001@tvetmara.edu.my,Zabhin bin Mohd Arbai,COMP_ LAB 2,COMP. LAB 2,Isnin,10:00,12:00,1,18,active,DGS scoped clean no-conflict row
JAN_JUN_2026,DGS,DIPLOMA TEKNOLOGI KEJURUTERAAN GAS (DGS),DGS 2A,DPG20244,WELDING TECHNOLOGY,DGS_DPG20244,lecturer001@tvetmara.edu.my,Zabhin bin Mohd Arbai,SMART CLASSROOM,SMART CLASSROOM,Selasa,08:00,10:00,1,18,active,DGS scoped clean no-conflict row
JAN_JUN_2026,DGS,DIPLOMA TEKNOLOGI KEJURUTERAAN GAS (DGS),DGS 3A,DPG31274,PIPING DRAFTING AND INSTRUMENTATION,DGS_DPG31274,lecturer001@tvetmara.edu.my,Zabhin bin Mohd Arbai,LAB ICT,LAB ICT,Selasa,10:00,12:00,1,18,active,DGS scoped clean no-conflict row
JAN_JUN_2026,DGS,DIPLOMA TEKNOLOGI KEJURUTERAAN GAS (DGS),DGS 1A,DKV10213,ENGINEERING SCIENCE,DGS_DKV10213,lecturer001@tvetmara.edu.my,Zabhin bin Mohd Arbai,COMP_ LAB 1,COMP. LAB 1,Rabu,08:00,10:00,1,18,active,DGS scoped clean no-conflict row
JAN_JUN_2026,DGS,DIPLOMA TEKNOLOGI KEJURUTERAAN GAS (DGS),DGS 1B,DPG10232,FUNDAMENTAL OF PIPE DRAFTING,DGS_DPG10232,lecturer001@tvetmara.edu.my,Zabhin bin Mohd Arbai,COMP_ LAB 2,COMP. LAB 2,Rabu,10:00,12:00,1,18,active,DGS scoped clean no-conflict row
JAN_JUN_2026,DGS,DIPLOMA TEKNOLOGI KEJURUTERAAN GAS (DGS),DGS 2A,DPG20253,"ACTS, REGULATIONS AND STANDARD CODES",DGS_DPG20253,lecturer001@tvetmara.edu.my,Zabhin bin Mohd Arbai,SMART CLASSROOM,SMART CLASSROOM,Khamis,08:00,10:00,1,18,active,DGS scoped clean no-conflict row
JAN_JUN_2026,DGS,DIPLOMA TEKNOLOGI KEJURUTERAAN GAS (DGS),DGS 3A,DPG30283,GAS DISTRIBUTION SYSTEM,DGS_DPG30283,lecturer001@tvetmara.edu.my,Zabhin bin Mohd Arbai,LAB ICT,LAB ICT,Khamis,10:00,12:00,1,18,active,DGS scoped clean no-conflict row
JAN_JUN_2026,DGS,DIPLOMA TEKNOLOGI KEJURUTERAAN GAS (DGS),DGS 1A,DPG30313,THERMODYNAMICS,DGS_DPG30313,lecturer001@tvetmara.edu.my,Zabhin bin Mohd Arbai,COMP_ LAB 1,COMP. LAB 1,Jumaat,08:00,10:00,1,18,active,DGS scoped clean no-conflict row
JAN_JUN_2026,DGS,DIPLOMA TEKNOLOGI KEJURUTERAAN GAS (DGS),DGS 1B,DUM10122,ENGINEERING MATHEMATICS 1,DGS_DUM10122,lecturer001@tvetmara.edu.my,Zabhin bin Mohd Arbai,COMP_ LAB 2,COMP. LAB 2,Jumaat,10:00,12:00,1,18,active,DGS scoped clean no-conflict row
