academicSessionId,programId,programName,classId,subjectCode,subjectName,subjectId,lecturerEmail,lecturerName,roomId,roomName,dayOfWeek,startTime,endTime,weekStart,weekEnd,status,remarks
JAN_JUN_2026,DED,DIPLOMA TEKNOLOGI KEJURUTERAAN ELEKTRIK (DOMESTIK INDUSTRI) (DED),DED 1A,DED10044,ELECTRICAL INSTALLATION,DED_DED10044,lecturer046@tvetmara.edu.my,SYARIFAH BINTI ABDUL RAHIM,ELEC MACHINE LAB,ELEC MACHINE LAB,Isnin,08:00,10:00,1,18,active,Demo conflict CSV clean row
JAN_JUN_2026,DED,DIPLOMA TEKNOLOGI KEJURUTERAAN ELEKTRIK (DOMESTIK INDUSTRI) (DED),DED 1A,DED21052,ELECTRICAL INDUSTRIAL INSTALLATION 1,DED_DED21052,lecturer042@tvetmara.edu.my,IR TS DR. OSMAN BIN ABU BAKAR,BILIK KULIAH DED 1,BILIK KULIAH DED 1,Isnin,08:00,10:00,1,18,active,Intentional class conflict with row 1 for DED 1A
JAN_JUN_2026,DCP,DIPLOMA KOMPETENSI ELEKTRIK (KUASA) (DCP),DCP 1A,MES10013,ELECTRICAL INSTALLATION THEORY,DCP_MES10013,lecturer057@tvetmara.edu.my,SHAMSHUL ANNUAR BIN RUSLAN,PLC LAB,PLC LAB,Isnin,10:00,12:00,1,18,active,Demo conflict CSV clean row
JAN_JUN_2026,DCP,DIPLOMA KOMPETENSI ELEKTRIK (KUASA) (DCP),DCP 2A,MEP20014,ELECTRICAL INDUSTRIAL INSTALLATION AND MAINTENANCE 1,DCP_MEP20014,lecturer057@tvetmara.edu.my,SHAMSHUL ANNUAR BIN RUSLAN,SMART CLASSROOM,SMART CLASSROOM,Isnin,10:00,12:00,1,18,active,Intentional lecturer conflict with row 3 for lecturer057
JAN_JUN_2026,DCB,DIPLOMA LANJUTAN KOMPETENSI ELEKTRIK (PENJANAAN) (DCB),DCB 1A,MEB10023,DIESEL ENGINE GENERATOR,DCB_MEB10023,lecturer050@tvetmara.edu.my,MOHD DZAHID BIN ZAKARIA,POWER E LAB,POWER E LAB,Isnin,14:00,16:00,1,18,active,Demo conflict CSV clean row
JAN_JUN_2026,DCB,DIPLOMA LANJUTAN KOMPETENSI ELEKTRIK (PENJANAAN) (DCB),DCB 1B,MEB10042,ELECTRICAL SUPPLY ACT AND REGULATION,DCB_MEB10042,lecturer050@tvetmara.edu.my,MOHD DZAHID BIN ZAKARIA,SWITCHBOARD LAB,SWITCHBOARD LAB,Isnin,16:00,18:00,1,18,active,Demo conflict CSV clean row
JAN_JUN_2026,DED,DIPLOMA TEKNOLOGI KEJURUTERAAN ELEKTRIK (DOMESTIK INDUSTRI) (DED),DED 1A,DEV10043,ELECTRICAL CIRCUIT THEORY 1,DED_DEV10043,lecturer044@tvetmara.edu.my,NORHATINI BINTI IBRAHIM,BILIK KULIAH DED 2,BILIK KULIAH DED 2,Selasa,08:00,10:00,1,18,active,Demo conflict CSV clean row
JAN_JUN_2026,DED,DIPLOMA TEKNOLOGI KEJURUTERAAN ELEKTRIK (DOMESTIK INDUSTRI) (DED),DED 2A,DED21064,ELECTRICAL INDUSTRIAL INSTALLATION PRACTICE 1,DED_DED21064,lecturer049@tvetmara.edu.my,ZAINUL IDLAN BIN KOMAR,ELEC PRINCPLE LAB,ELEC PRINCPLE LAB,Selasa,08:00,10:00,1,18,active,Demo conflict CSV clean row
JAN_JUN_2026,DCP,DIPLOMA KOMPETENSI ELEKTRIK (KUASA) (DCP),DCP 1A,MEP40024,LOW VOLTAGE SWITCHBOARD PRACTICES,DCP_MEP40024,lecturer057@tvetmara.edu.my,SHAMSHUL ANNUAR BIN RUSLAN,SWITCHBOARD LAB,SWITCHBOARD LAB,Selasa,10:00,12:00,1,18,active,Demo conflict CSV clean row
JAN_JUN_2026,DCP,DIPLOMA KOMPETENSI ELEKTRIK (KUASA) (DCP),DCP 2A,MES21033,ELECTRICAL PRINCIPLE 2,DCP_MES21033,lecturer055@tvetmara.edu.my,JAMAL BIN MUHAMAD,SMART CLASSROOM,SMART CLASSROOM,Selasa,10:00,12:00,1,18,active,Demo conflict CSV clean row
JAN_JUN_2026,DCB,DIPLOMA LANJUTAN KOMPETENSI ELEKTRIK (PENJANAAN) (DCB),DCB 1A,MEB10112,GENERATION AND PARALLEL PROCEDURE,DCB_MEB10112,lecturer050@tvetmara.edu.my,MOHD DZAHID BIN ZAKARIA,POWER E LAB,POWER E LAB,Selasa,14:00,16:00,1,18,active,Demo conflict CSV clean row
JAN_JUN_2026,DED,DIPLOMA TEKNOLOGI KEJURUTERAAN ELEKTRIK (DOMESTIK INDUSTRI) (DED),DED 1B,DEV10052,ELECTRICAL DRAWING,DED_DEV10052,lecturer044@tvetmara.edu.my,NORHATINI BINTI IBRAHIM,MAKMAL KOMPUTER ELEKTRIK,MAKMAL KOMPUTER ELEKTRIK,Selasa,16:00,18:00,1,18,active,Demo conflict CSV clean row
JAN_JUN_2026,DED,DIPLOMA TEKNOLOGI KEJURUTERAAN ELEKTRIK (DOMESTIK INDUSTRI) (DED),DED 1A,DUM10122,ENGINEERING MATHEMATICS 1,DED_DUM10122,lecturer072@tvetmara.edu.my,RAFIDAH BINTI JEMAIN,BILIK KULIAH DED 1,BILIK KULIAH DED 1,Rabu,08:00,10:00,1,18,active,Demo conflict CSV clean row
