salesperson,transaction_count,total_sales,average_sale_price,total_commission,average_commission_rate,first_sale_date,last_sale_date
Michael Johnson,25,784655.0,31386.2,81972.58,0.1025,2022-05-06,2023-03-10
Michael Smith,24,694983.0,28957.63,68479.33,0.101,2022-05-28,2023-04-24
David Smith,20,589495.0,29474.75,61268.72,0.1037,2022-05-22,2023-04-25
Michael Williams,16,535958.0,33497.38,56821.86,0.1061,2022-05-08,2023-02-22
Joseph Smith,17,510569.0,30033.47,46870.67,0.0917,2022-05-03,2023-03-13
James Williams,15,486153.0,32410.2,49740.48,0.1021,2022-06-12,2023-03-29
Robert Smith,14,482397.0,34456.93,44509.53,0.0986,2022-05-22,2023-01-24
Michael Jones,13,437298.0,33638.31,43843.14,0.0969,2022-05-19,2023-04-28
Michael Miller,13,429340.0,33026.15,43159.33,0.1021,2022-05-15,2023-03-28
Sarah Smith,14,421902.0,30135.86,45592.12,0.1076,2022-06-01,2023-01-13
Daniel Smith,11,419642.0,38149.27,49201.82,0.1141,2022-06-22,2023-04-19
Melissa Smith,15,407650.0,27176.67,42836.19,0.1066,2022-05-17,2023-04-09
Robert Williams,12,403258.0,33604.83,37625.27,0.0923,2022-05-11,2023-03-26
Jennifer Williams,13,400830.0,30833.08,41778.41,0.1017,2022-05-11,2023-04-10
Amy Johnson,10,400151.0,40015.1,39680.32,0.0977,2022-06-10,2023-04-27
Christopher Miller,11,390461.0,35496.45,47308.87,0.1178,2022-05-17,2023-04-06
Jennifer Brown,13,385066.0,29620.46,39926.92,0.1074,2022-05-01,2023-04-15
Robert Miller,12,382174.0,31847.83,41811.7,0.1109,2022-05-30,2023-04-24
David Johnson,11,377923.0,34356.64,36104.86,0.0968,2022-06-03,2023-04-20
John Smith,13,369818.0,28447.54,31849.79,0.0941,2022-06-23,2023-03-04
Michael Davis,13,368442.0,28341.69,33791.34,0.0976,2022-06-01,2023-03-20
Christopher Smith,13,361259.0,27789.15,36669.09,0.1031,2022-05-20,2023-04-17
Michael Brown,11,357616.0,32510.55,34654.16,0.0941,2022-05-19,2023-04-11
John Williams,11,352927.0,32084.27,42014.94,0.1202,2022-05-18,2023-03-16
James Miller,11,346175.0,31470.45,37893.04,0.1107,2022-05-12,2023-04-09
Matthew Smith,12,345558.0,28796.5,34245.32,0.0977,2022-05-17,2023-04-20
Jennifer Smith,15,336280.0,22418.67,29540.22,0.0887,2022-05-14,2023-04-29
David Martinez,11,333053.0,30277.55,36007.69,0.1048,2022-05-18,2023-03-07
Jennifer Jones,10,331409.0,33140.9,33293.47,0.1024,2022-05-04,2023-03-21
Christopher Johnson,11,329618.0,29965.27,32804.89,0.1044,2022-05-04,2023-04-27
William Williams,11,324918.0,29538.0,32357.01,0.0926,2022-06-24,2023-03-23
Michelle Wilson,11,321944.0,29267.64,29141.68,0.0963,2022-05-04,2023-03-31
James Smith,11,319174.0,29015.82,34306.53,0.1078,2022-05-15,2023-04-12
Andrew Johnson,11,318259.0,28932.64,30024.55,0.0982,2022-05-29,2023-03-26
Christopher Garcia,9,316125.0,35125.0,29654.51,0.0925,2022-06-03,2023-03-13
David Jones,11,314051.0,28550.09,30090.27,0.0971,2022-06-07,2023-04-30
John Johnson,10,309250.0,30925.0,26258.38,0.0857,2022-06-04,2023-04-29
Michael Allen,9,308798.0,34310.89,30494.75,0.0982,2022-07-02,2023-01-28
Michael Taylor,9,302225.0,33580.56,28891.51,0.0919,2022-05-07,2022-12-06
Michael Parker,11,300774.0,27343.09,27739.03,0.0941,2022-06-01,2023-04-24
Ashley Williams,10,300177.0,30017.7,29765.38,0.097,2022-06-15,2023-03-18
Jennifer Miller,11,296678.0,26970.73,29452.25,0.1025,2022-05-21,2023-03-29
Richard Johnson,8,295121.0,36890.13,31082.96,0.1046,2022-05-19,2023-02-20
Matthew Johnson,8,293582.0,36697.75,30497.26,0.1038,2022-06-18,2023-04-22
Amy Jones,9,291987.0,32443.0,29264.36,0.0945,2022-06-08,2023-03-14
Michael Young,9,290745.0,32305.0,24292.91,0.0804,2022-06-26,2023-04-09
Lisa Williams,10,289382.0,28938.2,24416.92,0.0865,2022-06-11,2023-04-27
James Brown,8,287934.0,35991.75,27545.64,0.0924,2022-08-08,2023-03-31
Joseph Brown,9,286812.0,31868.0,28563.52,0.0989,2022-05-04,2023-04-03
David Williams,9,284953.0,31661.44,26829.68,0.0975,2022-05-28,2023-03-10
John Miller,9,282979.0,31442.11,27566.54,0.0928,2022-06-23,2023-02-27
Robert Johnson,11,282801.0,25709.18,28876.59,0.0959,2022-05-17,2023-04-29
Joseph Johnson,8,282799.0,35349.88,30306.29,0.1068,2022-08-14,2023-04-18
Andrew Smith,8,281885.0,35235.63,25708.12,0.0878,2022-06-21,2023-03-14
Daniel Williams,9,281365.0,31262.78,30718.58,0.1086,2022-06-18,2023-03-02
Christopher Davis,9,280798.0,31199.78,24598.15,0.0857,2022-07-01,2023-03-04
Amanda Smith,8,278761.0,34845.13,24551.85,0.0923,2022-08-08,2023-04-22
Michael Nelson,7,277682.0,39668.86,27088.23,0.0982,2022-05-07,2023-03-20
Robert Brown,8,276731.0,34591.38,26962.27,0.0907,2022-06-02,2023-04-05
Melissa Johnson,11,274603.0,24963.91,29406.13,0.1059,2022-05-24,2023-01-27
Michael Jackson,8,273278.0,34159.75,28638.48,0.109,2022-06-07,2023-04-24
Brian Thomas,8,272788.0,34098.5,24234.65,0.0932,2022-06-27,2023-03-14
Robert Peterson,9,272714.0,30301.56,32603.92,0.1157,2022-05-04,2023-02-26
Emily Smith,8,269057.0,33632.13,28948.05,0.107,2022-05-20,2023-03-27
Matthew Brown,8,266320.0,33290.0,28271.06,0.1044,2022-05-19,2023-03-21
William Brown,6,264637.0,44106.17,31277.84,0.1175,2022-08-18,2023-04-21
Michael Moore,9,263717.0,29301.89,25524.81,0.0975,2022-05-15,2023-04-18
Thomas Johnson,9,262786.0,29198.44,25063.4,0.0899,2022-05-29,2023-04-08
Jason Smith,8,258839.0,32354.88,23587.22,0.093,2022-05-04,2023-02-18
David Thompson,7,257706.0,36815.14,23906.58,0.0898,2022-08-23,2023-04-18
Matthew Garcia,9,257516.0,28612.89,24085.48,0.0979,2022-05-02,2023-04-22
Elizabeth Johnson,8,254942.0,31867.75,25932.01,0.0987,2022-05-06,2023-02-24
Jennifer Johnson,9,253866.0,28207.33,23787.22,0.0997,2022-06-17,2023-02-05
John Thompson,8,250640.0,31330.0,21322.16,0.0793,2022-05-17,2023-04-04
Jacob Williams,8,250375.0,31296.88,21835.33,0.0904,2022-05-21,2023-02-21
David Davis,8,248778.0,31097.25,28722.11,0.1157,2022-05-15,2023-05-01
Lisa Smith,8,248343.0,31042.88,20902.11,0.0868,2022-09-19,2023-04-25
Brian Garcia,6,246625.0,41104.17,25781.14,0.1034,2022-06-09,2023-02-13
Jeffrey Smith,7,245847.0,35121.0,23185.23,0.0923,2022-06-15,2023-04-16
Jonathan Smith,8,244455.0,30556.88,24603.94,0.1008,2022-06-17,2023-03-13
Richard Brown,8,243876.0,30484.5,25047.17,0.1,2022-06-13,2023-04-09
Amy Smith,8,243768.0,30471.0,25826.7,0.1007,2022-05-03,2023-02-08
Steven Smith,7,242580.0,34654.29,25643.54,0.1068,2022-05-04,2023-03-31
Erin Smith,6,240412.0,40068.67,23818.19,0.0941,2022-06-16,2023-02-22
Michael Stewart,8,238932.0,29866.5,20150.65,0.0864,2022-05-20,2023-04-29
Anthony Johnson,7,238904.0,34129.14,20245.21,0.0852,2022-06-06,2023-03-13
Melissa Brown,8,238339.0,29792.38,25245.99,0.0998,2022-05-28,2023-04-05
Jennifer White,6,238223.0,39703.83,22934.83,0.0992,2022-09-29,2023-03-21
Eric Johnson,9,237845.0,26427.22,26243.8,0.1101,2022-06-16,2023-04-23
Michael Garcia,7,235845.0,33692.14,20746.25,0.0899,2022-05-31,2023-03-16
Christopher Anderson,8,234672.0,29334.0,19475.37,0.0914,2022-07-08,2023-03-01
David Brown,7,234600.0,33514.29,27380.1,0.1166,2022-06-15,2023-01-10
Michael Rogers,8,234400.0,29300.0,20643.44,0.0922,2022-06-12,2023-03-31
Ryan Johnson,6,234172.0,39028.67,26326.71,0.1109,2022-05-17,2023-02-27
Cynthia Brown,6,232160.0,38693.33,25553.52,0.1048,2022-05-10,2023-02-23
James Taylor,8,232022.0,29002.75,27124.71,0.1106,2022-05-15,2023-02-04
James Martinez,7,230927.0,32989.57,20345.31,0.0859,2022-05-06,2023-02-25
Jonathan Williams,8,230201.0,28775.13,23389.96,0.0974,2022-05-08,2023-04-26
James Lewis,6,229886.0,38314.33,27281.25,0.1154,2022-06-30,2023-03-24
Mark Moore,6,229329.0,38221.5,16860.15,0.0729,2022-10-17,2023-02-20
Mark Brown,8,228595.0,28574.38,18958.2,0.0878,2022-06-06,2023-04-21
Lisa Johnson,7,228540.0,32648.57,26590.87,0.1121,2022-08-18,2023-02-24
Christopher Thomas,7,228041.0,32577.29,19941.55,0.0821,2022-05-19,2023-03-24
Jessica Garcia,6,227521.0,37920.17,22303.42,0.0981,2022-05-09,2023-03-10
William Smith,6,227143.0,37857.17,21639.97,0.099,2022-05-26,2023-03-04
Joshua King,8,224434.0,28054.25,21949.49,0.0955,2022-07-16,2023-04-22
Timothy Davis,5,223790.0,44758.0,18629.03,0.0835,2022-05-02,2023-02-24
Rebecca Williams,6,223706.0,37284.33,20642.55,0.0892,2022-06-18,2022-11-04
Michael Perez,7,222401.0,31771.57,23287.48,0.1116,2022-05-26,2023-02-27
James Rodriguez,8,222228.0,27778.5,22114.4,0.0959,2022-06-07,2023-04-13
Matthew Campbell,7,220263.0,31466.14,20884.24,0.0953,2022-06-07,2023-04-23
Jessica Williams,7,219657.0,31379.57,27301.26,0.1214,2022-07-04,2023-03-27
David Miller,9,218947.0,24327.44,25756.87,0.1184,2022-06-05,2023-05-01
Matthew Jones,8,218625.0,27328.13,21733.2,0.0972,2022-07-08,2023-02-02
Patricia Smith,6,218458.0,36409.67,20967.85,0.0971,2022-07-25,2023-03-23
Kimberly Martin,7,217293.0,31041.86,22808.3,0.1101,2022-06-29,2023-05-01
John Hernandez,8,216582.0,27072.75,22248.41,0.0991,2022-06-20,2023-03-30
Jessica Smith,8,215957.0,26994.63,16412.5,0.0761,2022-06-02,2023-04-13
Amy Williams,7,215875.0,30839.29,18731.2,0.0937,2022-06-02,2023-04-25
Susan Smith,6,215793.0,35965.5,25024.14,0.1171,2022-05-31,2023-04-21
